
,X,Y,Z,time
,0.92,-3.6,-2.44,2025-03-17T15:08:17.707681Z
,0.31,-3.72,-2.2,2025-03-17T15:08:18.804988Z
,0.67,-3.42,-2.38,2025-03-17T15:08:19.915919Z
,0.24,-3.48,-2.32,2025-03-17T15:08:21.021599Z
,4.03,-3.17,-3.85,2025-03-17T15:08:22.125461Z
,2.81,-2.5,-4.09,2025-03-17T15:08:23.228501Z
,1.4,-3.6,-2.87,2025-03-17T15:08:24.337563Z
,0.55,-3.48,-2.44,2025-03-17T15:08:25.44232Z
,0.92,-3.6,-2.32,2025-03-17T15:08:26.548544Z
,0.61,-3.48,-2.38,2025-03-17T15:08:27.651977Z
,0.85,-3.54,-2.44,2025-03-17T15:08:28.75357Z
,0.61,-3.42,-2.56,2025-03-17T15:08:29.860384Z
,0.92,-3.6,-2.44,2025-03-17T15:08:30.966204Z
,1.28,-3.72,-2.56,2025-03-17T15:08:32.065326Z
,1.53,-3.05,-2.81,2025-03-17T15:08:33.176026Z
,0.98,-3.48,-2.32,2025-03-17T15:08:34.288375Z
,0.49,-3.42,-2.62,2025-03-17T15:08:35.385989Z
,0.67,-3.48,-2.38,2025-03-17T15:08:36.49036Z
,1.04,-3.66,-2.62,2025-03-17T15:08:37.593001Z
,0.73,-3.6,-2.44,2025-03-17T15:08:38.697424Z
,0.79,-3.66,-2.5,2025-03-17T15:08:39.806535Z
,0.92,-3.05,-2.56,2025-03-17T15:08:40.91169Z
,1.22,-3.36,-2.87,2025-03-17T15:08:42.01596Z
,0.37,-3.48,-2.32,2025-03-17T15:08:43.127147Z
,-1.65,-2.62,-3.97,2025-03-17T15:08:44.225453Z
,-0.37,-3.36,-2.32,2025-03-17T15:08:45.33171Z
,0.67,-3.48,-2.56,2025-03-17T15:08:46.431994Z
,0.67,-3.48,-2.56,2025-03-17T15:08:47.541683Z
,1.83,-3.66,-2.32,2025-03-17T15:08:48.648257Z
,0.73,-3.42,-2.62,2025-03-17T15:08:49.758732Z
,0,-3.11,-2.75,2025-03-17T15:08:50.855198Z
,0.55,-3.3,-2.44,2025-03-17T15:08:51.964995Z
,0.61,-3.36,-2.38,2025-03-17T15:08:53.066748Z
,0.67,-3.48,-2.44,2025-03-17T15:08:54.164331Z
,0.55,-3.36,-2.44,2025-03-17T15:08:55.281734Z
,0.79,-3.66,-2.38,2025-03-17T15:08:56.714494Z
,0.67,-3.42,-2.5,2025-03-17T15:08:57.576071Z
,1.28,-3.54,-2.93,2025-03-17T15:08:58.584776Z
,0.73,-3.42,-2.56,2025-03-17T15:08:59.693977Z
,0.67,-3.54,-2.38,2025-03-17T15:09:00.799211Z
,0.37,-3.23,-2.5,2025-03-17T15:09:01.911267Z
,0.73,-3.97,-2.62,2025-03-17T15:09:03.010281Z
,0.49,-2.2,-4.03,2025-03-17T15:09:04.112944Z
,2.75,1.34,-1.4,2025-03-17T15:09:05.214546Z
,25.63,23.5,8.79,2025-03-17T15:09:06.323091Z
,-0.92,-5.62,-5.86,2025-03-17T15:09:07.431023Z
,0.92,-3.42,-2.44,2025-03-17T15:09:08.53343Z
,0.55,-3.36,-2.5,2025-03-17T15:09:09.64024Z
,0.37,-3.54,-2.26,2025-03-17T15:09:10.74092Z
,0.31,-3.48,-2.26,2025-03-17T15:09:11.850172Z
,0.73,-3.78,-2.44,2025-03-17T15:09:12.95333Z
,0.55,-3.42,-2.5,2025-03-17T15:09:14.064453Z
,0.67,-3.42,-2.5,2025-03-17T15:09:15.165866Z
,0.79,-3.48,-2.38,2025-03-17T15:09:16.26858Z
,0.49,-3.23,-2.44,2025-03-17T15:09:17.373506Z
,0.73,-3.54,-2.5,2025-03-17T15:09:18.477455Z
,15.38,-3.72,-2.2,2025-03-17T15:09:19.587009Z
,1.65,-3.85,-2.62,2025-03-17T15:09:20.690053Z
,0.73,-3.48,-2.5,2025-03-17T15:09:21.792303Z
,0.79,-3.54,-2.5,2025-03-17T15:09:22.903016Z
,0.73,-3.6,-2.44,2025-03-17T15:09:24.009164Z
,0.49,-3.36,-2.26,2025-03-17T15:09:25.105613Z
,0.79,-3.6,-2.14,2025-03-17T15:09:26.216381Z
,1.46,-3.66,-2.5,2025-03-17T15:09:27.313809Z
,0.43,-3.72,-2.26,2025-03-17T15:09:28.424556Z
,1.04,-3.72,-2.62,2025-03-17T15:09:29.530425Z
,0.79,-3.3,-2.32,2025-03-17T15:09:30.650425Z
,0.06,-3.85,-2.26,2025-03-17T15:09:31.778395Z
,0.61,-3.6,-2.38,2025-03-17T15:09:32.840909Z
,0.37,-3.6,-2.44,2025-03-17T15:09:33.952401Z
,0.61,-3.48,-2.38,2025-03-17T15:09:35.063028Z
,0.55,-3.66,-2.44,2025-03-17T15:09:36.158093Z
,0.85,-3.48,-2.32,2025-03-17T15:09:37.265414Z
,0.61,-3.36,-2.56,2025-03-17T15:09:38.365426Z
,0.18,-3.66,-2.14,2025-03-17T15:09:39.469009Z
,0.67,-3.6,-2.44,2025-03-17T15:09:40.58012Z
,0.67,-3.66,-2.5,2025-03-17T15:09:41.678729Z
,0.67,-3.23,-2.32,2025-03-17T15:09:42.783572Z
,0.73,-3.66,-2.44,2025-03-17T15:09:43.892163Z
,0,-3.48,-2.38,2025-03-17T15:09:44.995065Z
,0.37,-3.42,-2.26,2025-03-17T15:09:46.105984Z
,0.92,-3.54,-2.38,2025-03-17T15:09:47.201747Z
,0.37,-3.42,-2.44,2025-03-17T15:09:48.308832Z
,0.85,-3.17,-2.2,2025-03-17T15:09:49.415503Z
,0.31,-3.6,-2.14,2025-03-17T15:09:50.519156Z
,0.55,-3.54,-2.32,2025-03-17T15:09:51.627211Z
,0.55,-3.66,-2.32,2025-03-17T15:09:52.73238Z
,0.73,-3.42,-2.5,2025-03-17T15:09:53.840623Z
,0.31,-3.36,-2.26,2025-03-17T15:09:54.943767Z
,0.31,-3.97,-2.08,2025-03-17T15:09:56.042457Z
,0.31,-3.36,-2.32,2025-03-17T15:09:57.152959Z
,0.31,-3.54,-2.32,2025-03-17T15:09:58.252473Z
,0.79,-3.36,-2.5,2025-03-17T15:09:59.363133Z
,0.49,-3.6,-2.5,2025-03-17T15:10:00.464358Z
,0.67,-3.36,-2.5,2025-03-17T15:10:01.573375Z
,0.12,-3.54,-2.56,2025-03-17T15:10:02.678266Z
,1.04,-3.6,-2.08,2025-03-17T15:10:03.780826Z
,0.79,-3.48,-2.44,2025-03-17T15:10:04.886763Z
,0.43,-3.3,-2.5,2025-03-17T15:10:05.988997Z
,0.31,-3.48,-3.11,2025-03-17T15:10:07.09332Z
,1.04,-3.48,-4.64,2025-03-17T15:10:08.202404Z
,-0.49,-3.91,-3.23,2025-03-17T15:10:09.3014Z
,4.21,0.49,-1.53,2025-03-17T15:10:10.412277Z
,1.34,-3.54,-1.77,2025-03-17T15:10:11.516668Z
,0.55,-3.72,-2.2,2025-03-17T15:10:12.619418Z
,0.18,-4.94,-6.16,2025-03-17T15:10:13.726106Z
,-0.55,-4.03,-3.05,2025-03-17T15:10:14.828234Z
,0.18,-3.3,-1.65,2025-03-17T15:10:15.932807Z
,0.67,-3.48,-2.56,2025-03-17T15:10:17.038684Z
,0.67,-3.48,-2.38,2025-03-17T15:10:18.149515Z
,0.24,-3.23,-2.2,2025-03-17T15:10:19.243421Z
,0.73,-3.66,-2.44,2025-03-17T15:10:20.366742Z
,0.43,-3.48,-2.44,2025-03-17T15:10:21.456784Z
,0.73,-3.48,-2.5,2025-03-17T15:10:22.55836Z
,0.55,-3.54,-2.5,2025-03-17T15:10:23.666127Z
,0.61,-3.54,-2.5,2025-03-17T15:10:24.766793Z
,0.67,-3.3,-2.38,2025-03-17T15:10:25.874921Z
