time,value
2025-03-27T03:49:40.204921054Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:49:41.224621116Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:49:42.224813735Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:49:43.242878328Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:49:44.24521854Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:49:45.244819637Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:49:46.254670256Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:49:47.264897856Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:49:48.276310175Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:49:49.286961893Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:49:50.296294666Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:49:51.304893837Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:49:52.32291734Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:49:53.342579275Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:49:54.363064151Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:49:55.344747217Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:49:56.356141097Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:49:57.365077666Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:49:58.375118962Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:49:59.395662296Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:50:00.385161668Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:50:01.395707943Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:50:02.475016127Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:50:03.414846352Z,"{""lat"":30.5163625,""lon"":76.659896}"
